Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
муж,22,нет,да,плацкарт,1420,1,1,1,2,2,3,0,нормально,плохо,плохо,нормально,плохо
муж,68,нет,нет,купе,2162,1,0,1,4,5,2,1,нормально,отсутствует,нормально,плохо,нормально
жен,33,да,нет,плацкарт,858,1,0,0,3,3,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,57,нет,да,плацкарт,212,1,0,1,5,5,3,1,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,40,нет,нет,плацкарт,682,1,0,1,1,1,5,1,нормально,отсутствует,нормально,нормально,нормально
жен,44,нет,нет,купе,631,1,0,1,1,3,2,1,нормально,отсутствует,плохо,плохо,нормально
муж,52,нет,нет,плацкарт,539,1,0,1,3,3,3,1,нормально,отсутствует,нормально,хорошо,нормально
муж,53,нет,нет,плацкарт,1341,1,1,0,4,4,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,63,нет,нет,плацкарт,756,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,56,да,нет,плацкарт,484,1,1,1,5,5,4,1,нормально,хорошо,плохо,нормально,нормально
жен,18,нет,нет,купе,620,1,1,1,1,4,4,1,нормально,нормально,плохо,нормально,нормально
жен,36,нет,да,плацкарт,368,1,1,0,3,3,3,1,плохо,нормально,отсутствует,плохо,нормально
жен,26,нет,да,плацкарт,1204,1,0,1,1,1,2,1,нормально,отсутствует,нормально,нормально,нормально
муж,25,нет,да,плацкарт,365,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,30,нет,да,плацкарт,410,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,48,нет,нет,плацкарт,1993,1,1,1,3,3,4,1,нормально,нормально,плохо,нормально,нормально
жен,20,нет,нет,плацкарт,1224,1,1,0,1,1,5,1,плохо,плохо,отсутствует,нормально,нормально
жен,31,да,нет,плацкарт,1156,0,1,0,4,4,2,1,отсутствует,нормально,отсутствует,нормально,хорошо
жен,25,нет,да,купе,2395,1,0,0,3,1,4,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,39,нет,да,плацкарт,139,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,хорошо
жен,29,да,нет,плацкарт,613,1,1,1,4,4,5,1,нормально,нормально,нормально,нормально,нормально
муж,19,нет,нет,плацкарт,1004,1,0,1,2,4,4,1,нормально,отсутствует,плохо,нормально,нормально
муж,18,нет,да,плацкарт,295,1,0,1,4,4,2,1,нормально,отсутствует,плохо,плохо,нормально
жен,42,да,нет,купе,270,0,0,0,2,2,5,1,отсутствует,отсутствует,отсутствует,хорошо,нормально
жен,56,нет,нет,плацкарт,509,1,0,1,4,4,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,37,нет,нет,плацкарт,184,1,1,0,3,3,3,1,плохо,нормально,отсутствует,нормально,нормально
жен,22,нет,нет,плацкарт,226,1,1,1,3,3,4,1,нормально,нормально,нормально,нормально,нормально
жен,53,нет,нет,купе,1679,1,1,0,5,5,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,32,нет,нет,плацкарт,613,1,1,0,4,4,5,1,плохо,нормально,отсутствует,нормально,нормально
жен,43,да,нет,плацкарт,442,0,0,0,1,1,2,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
муж,34,да,нет,плацкарт,194,0,1,0,1,1,3,1,отсутствует,плохо,отсутствует,хорошо,нормально
жен,56,нет,нет,купе,1023,1,1,0,5,4,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,54,да,нет,плацкарт,2882,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,36,нет,нет,купе,698,1,1,1,4,5,3,1,нормально,хорошо,плохо,плохо,нормально
жен,44,нет,нет,плацкарт,631,1,1,0,2,4,5,1,плохо,плохо,отсутствует,плохо,нормально
жен,20,нет,да,купе,1299,0,0,0,1,1,3,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
жен,38,нет,да,плацкарт,266,1,1,0,1,1,3,0,нормально,плохо,отсутствует,плохо,плохо
жен,46,нет,нет,плацкарт,1210,1,1,1,4,4,2,1,нормально,нормально,плохо,нормально,нормально
муж,37,нет,нет,плацкарт,825,1,0,0,2,2,3,0,плохо,отсутствует,отсутствует,хорошо,плохо
жен,39,нет,да,плацкарт,1551,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
жен,64,нет,да,плацкарт,849,1,1,0,1,1,2,0,плохо,плохо,отсутствует,плохо,плохо
муж,67,да,да,св,2112,1,1,1,2,2,4,1,нормально,плохо,нормально,нормально,хорошо
муж,18,нет,нет,плацкарт,2558,1,0,0,2,2,5,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,21,нет,нет,плацкарт,561,1,0,0,5,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,53,нет,да,плацкарт,1102,1,1,1,3,3,4,1,хорошо,нормально,нормально,хорошо,хорошо
муж,18,нет,нет,купе,565,1,0,1,2,2,4,1,нормально,отсутствует,плохо,хорошо,нормально
муж,42,нет,да,плацкарт,2471,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
жен,52,нет,да,купе,214,1,0,1,4,1,3,1,нормально,отсутствует,плохо,нормально,нормально
жен,39,да,нет,плацкарт,2512,1,1,0,3,3,3,1,плохо,плохо,отсутствует,плохо,нормально
жен,50,да,нет,плацкарт,159,0,1,1,2,2,3,1,отсутствует,плохо,нормально,плохо,нормально
муж,34,нет,да,плацкарт,872,1,0,1,3,3,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,27,нет,да,плацкарт,2512,1,1,1,4,4,3,1,нормально,нормально,нормально,нормально,нормально
жен,39,нет,да,плацкарт,126,1,1,0,5,5,2,1,плохо,хорошо,отсутствует,нормально,нормально
муж,39,нет,нет,купе,532,1,1,0,1,2,3,1,плохо,плохо,отсутствует,нормально,нормально
жен,56,да,да,плацкарт,1001,1,0,0,1,1,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,68,нет,нет,плацкарт,553,1,0,1,4,3,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,32,нет,да,плацкарт,138,1,0,0,2,2,3,1,нормально,отсутствует,отсутствует,нормально,нормально
муж,43,да,да,плацкарт,1068,1,0,1,1,1,3,1,нормально,отсутствует,нормально,нормально,нормально
муж,67,нет,нет,купе,1042,1,1,1,2,5,4,1,нормально,хорошо,плохо,нормально,нормально
жен,55,нет,да,купе,485,1,1,1,2,3,5,1,нормально,плохо,хорошо,нормально,хорошо
жен,25,нет,да,плацкарт,146,1,0,1,3,5,3,1,нормально,отсутствует,хорошо,нормально,хорошо
муж,26,нет,да,плацкарт,1388,1,1,1,1,1,3,1,нормально,плохо,нормально,нормально,нормально
муж,23,нет,нет,плацкарт,899,1,1,0,1,1,3,0,плохо,плохо,отсутствует,нормально,плохо
жен,56,нет,да,купе,490,1,1,1,2,2,3,1,хорошо,нормально,плохо,хорошо,нормально
жен,53,нет,да,купе,441,1,0,1,3,2,2,0,нормально,отсутствует,плохо,хорошо,плохо
жен,46,нет,нет,плацкарт,473,1,1,1,5,4,3,1,нормально,нормально,плохо,хорошо,нормально
жен,54,нет,нет,купе,780,1,0,0,4,5,5,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,45,да,да,плацкарт,636,1,1,1,2,2,3,1,хорошо,плохо,хорошо,плохо,хорошо
жен,26,нет,да,плацкарт,413,1,0,1,3,3,2,1,нормально,отсутствует,нормально,плохо,хорошо
жен,47,да,да,купе,824,1,0,0,4,4,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,53,нет,нет,плацкарт,1740,1,1,0,4,4,4,1,плохо,нормально,отсутствует,плохо,нормально
муж,44,нет,нет,плацкарт,1245,1,1,1,5,5,3,1,нормально,хорошо,плохо,хорошо,нормально
муж,42,нет,да,плацкарт,277,1,1,1,3,3,3,1,хорошо,нормально,плохо,хорошо,нормально
жен,37,да,нет,плацкарт,284,1,0,0,2,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,42,нет,да,плацкарт,957,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
жен,46,нет,да,плацкарт,229,1,1,0,4,1,2,1,плохо,нормально,отсутствует,плохо,хорошо
жен,66,да,нет,плацкарт,1629,1,1,0,2,2,4,1,плохо,плохо,отсутствует,хорошо,нормально
жен,47,нет,нет,купе,621,0,0,0,5,3,3,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
муж,51,да,нет,купе,962,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,49,да,нет,плацкарт,770,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
жен,58,нет,нет,купе,139,1,1,1,5,2,2,1,нормально,нормально,нормально,нормально,нормально
жен,43,нет,нет,плацкарт,1004,1,1,0,5,3,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,32,да,нет,плацкарт,583,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,51,да,да,св,1747,1,1,1,3,3,3,1,нормально,отсутствует,плохо,хорошо,нормально
муж,30,нет,нет,плацкарт,1883,1,1,0,1,2,5,1,плохо,плохо,отсутствует,хорошо,нормально
муж,49,нет,нет,плацкарт,595,1,1,1,5,5,4,1,плохо,хорошо,плохо,нормально,нормально
жен,61,да,нет,плацкарт,783,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,36,нет,да,купе,110,1,1,0,1,1,3,1,нормально,плохо,отсутствует,нормально,нормально
жен,45,да,нет,плацкарт,466,1,0,0,4,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,62,нет,да,плацкарт,785,1,1,1,5,5,3,1,нормально,хорошо,хорошо,нормально,хорошо
жен,35,нет,да,плацкарт,275,1,1,1,3,3,4,1,плохо,нормально,плохо,плохо,хорошо
муж,58,да,нет,плацкарт,123,1,0,1,1,1,2,0,нормально,отсутствует,нормально,нормально,плохо
жен,37,нет,да,плацкарт,237,1,1,0,4,4,4,1,плохо,нормально,отсутствует,плохо,нормально
жен,65,нет,нет,плацкарт,544,1,1,0,4,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,47,да,нет,св,817,1,1,0,5,5,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,46,нет,нет,плацкарт,904,1,1,1,1,1,4,0,нормально,плохо,плохо,нормально,плохо
жен,38,нет,нет,плацкарт,799,1,1,0,3,3,5,1,плохо,нормально,отсутствует,хорошо,нормально
жен,40,нет,нет,плацкарт,618,1,0,1,5,4,4,1,нормально,отсутствует,нормально,нормально,нормально
муж,20,нет,нет,плацкарт,553,1,1,0,4,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,59,нет,нет,плацкарт,238,1,1,1,1,2,2,1,хорошо,плохо,хорошо,плохо,хорошо
муж,60,да,нет,плацкарт,1221,1,0,0,3,3,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,27,нет,да,плацкарт,618,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,хорошо
жен,38,нет,да,плацкарт,260,1,0,1,2,2,3,1,нормально,отсутствует,нормально,плохо,нормально
жен,57,нет,да,плацкарт,110,1,1,1,4,3,4,1,нормально,нормально,хорошо,плохо,хорошо
жен,29,да,нет,св,2652,1,0,1,2,2,2,0,нормально,отсутствует,плохо,плохо,плохо
жен,54,да,нет,св,1416,1,1,0,2,2,3,0,плохо,плохо,отсутствует,нормально,плохо
муж,37,да,нет,плацкарт,318,1,1,0,2,2,4,0,плохо,плохо,отсутствует,хорошо,плохо
жен,33,нет,нет,плацкарт,1613,1,0,0,2,2,5,0,плохо,отсутствует,отсутствует,хорошо,плохо
жен,65,нет,нет,плацкарт,1272,1,0,0,4,3,2,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,33,нет,да,плацкарт,665,1,0,1,2,2,3,0,нормально,отсутствует,плохо,хорошо,плохо
жен,23,нет,да,плацкарт,643,1,1,1,4,5,3,1,нормально,хорошо,нормально,плохо,хорошо
жен,39,да,да,плацкарт,804,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
муж,59,да,да,плацкарт,726,1,0,1,5,5,4,1,нормально,отсутствует,нормально,нормально,хорошо
муж,33,нет,нет,плацкарт,340,1,1,1,2,2,3,0,плохо,плохо,плохо,нормально,плохо
жен,25,нет,да,плацкарт,582,1,1,1,4,4,3,1,нормально,нормально,плохо,плохо,нормально
муж,31,да,нет,плацкарт,1984,0,1,0,1,1,5,1,отсутствует,плохо,отсутствует,нормально,хорошо
муж,25,нет,да,плацкарт,770,1,1,1,4,4,4,1,нормально,нормально,плохо,нормально,нормально
жен,25,нет,нет,плацкарт,631,1,1,1,1,4,2,1,нормально,нормально,плохо,нормально,нормально
жен,44,нет,нет,плацкарт,362,1,0,0,4,4,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,68,нет,нет,св,2439,1,1,0,4,4,3,1,плохо,нормально,отсутствует,нормально,нормально
муж,40,нет,нет,плацкарт,919,1,1,0,5,2,4,0,плохо,плохо,отсутствует,хорошо,плохо
жен,43,нет,нет,плацкарт,307,0,0,0,4,1,2,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
жен,63,нет,нет,плацкарт,1027,1,1,0,4,1,2,1,плохо,нормально,отсутствует,нормально,нормально
жен,21,нет,да,плацкарт,949,1,1,0,2,2,4,0,плохо,плохо,отсутствует,плохо,плохо
муж,43,нет,нет,плацкарт,763,1,1,1,3,3,2,1,нормально,нормально,нормально,хорошо,нормально
муж,25,нет,да,купе,1595,1,1,1,2,3,2,1,нормально,нормально,плохо,нормально,нормально
жен,46,нет,да,плацкарт,933,1,0,1,2,5,5,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,24,нет,да,купе,1653,1,0,1,2,3,3,0,плохо,отсутствует,плохо,плохо,плохо
муж,23,нет,нет,плацкарт,1001,1,1,1,4,4,4,1,нормально,нормально,нормально,хорошо,хорошо
жен,38,нет,да,св,1416,1,1,1,1,3,4,1,нормально,нормально,нормально,нормально,хорошо
муж,61,нет,нет,плацкарт,683,1,0,1,3,3,3,1,нормально,отсутствует,нормально,нормально,нормально
муж,31,нет,да,плацкарт,2102,1,0,1,5,5,2,1,плохо,отсутствует,хорошо,плохо,хорошо
жен,52,нет,нет,плацкарт,994,1,1,0,4,3,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,49,да,нет,купе,905,1,1,1,3,3,2,1,нормально,нормально,нормально,нормально,хорошо
муж,37,да,нет,плацкарт,911,1,0,0,4,2,2,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,29,нет,нет,св,261,1,1,0,3,3,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,25,нет,да,плацкарт,469,1,0,0,1,1,3,0,плохо,отсутствует,отсутствует,нормально,плохо
муж,27,нет,да,плацкарт,688,1,1,1,5,5,3,1,нормально,хорошо,нормально,плохо,нормально
жен,50,нет,да,купе,765,1,1,1,2,3,3,1,нормально,плохо,нормально,хорошо,нормально
муж,41,нет,да,плацкарт,799,1,0,1,4,4,4,1,нормально,отсутствует,нормально,нормально,хорошо
жен,67,нет,нет,плацкарт,358,1,0,1,2,4,2,1,нормально,отсутствует,нормально,хорошо,хорошо
жен,36,да,нет,плацкарт,553,1,0,1,1,2,2,1,хорошо,отсутствует,хорошо,плохо,хорошо
жен,39,нет,нет,плацкарт,430,1,1,1,2,2,4,1,нормально,плохо,плохо,нормально,нормально
жен,60,нет,да,купе,428,1,1,1,4,1,4,1,плохо,плохо,нормально,плохо,хорошо
муж,47,нет,да,купе,614,1,1,1,5,5,3,1,плохо,хорошо,хорошо,плохо,хорошо
жен,33,нет,нет,плацкарт,647,1,1,1,2,2,3,0,плохо,плохо,плохо,плохо,плохо
муж,64,нет,нет,плацкарт,353,1,1,1,1,1,2,0,нормально,плохо,плохо,хорошо,плохо
муж,23,нет,да,плацкарт,171,1,1,1,4,4,5,1,нормально,нормально,нормально,нормально,хорошо
муж,39,нет,нет,плацкарт,796,1,0,1,3,5,4,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,35,нет,да,плацкарт,324,1,1,1,5,5,4,1,нормально,хорошо,хорошо,нормально,хорошо
жен,50,да,нет,плацкарт,1416,1,1,1,3,3,4,1,нормально,нормально,плохо,нормально,нормально
муж,42,нет,нет,плацкарт,795,1,1,0,3,3,3,1,плохо,нормально,отсутствует,нормально,нормально
муж,23,нет,да,плацкарт,516,1,1,0,2,2,4,0,плохо,плохо,отсутствует,нормально,плохо
жен,33,нет,нет,плацкарт,639,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,62,нет,нет,купе,388,1,0,1,4,4,2,1,нормально,отсутствует,плохо,хорошо,нормально
жен,33,да,нет,св,944,1,1,1,4,4,4,1,нормально,нормально,нормально,нормально,нормально
жен,65,да,нет,плацкарт,424,1,0,0,4,4,5,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,26,нет,да,св,775,1,1,1,1,3,4,1,хорошо,нормально,хорошо,хорошо,хорошо
жен,35,нет,да,купе,627,1,0,0,1,3,3,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,57,нет,да,св,879,1,1,1,5,5,2,1,плохо,хорошо,нормально,нормально,хорошо
муж,48,нет,да,св,1060,1,1,0,4,5,5,1,плохо,нормально,отсутствует,плохо,хорошо
жен,27,да,нет,плацкарт,292,1,1,0,1,1,4,1,плохо,плохо,отсутствует,нормально,нормально
жен,26,нет,нет,плацкарт,620,1,1,1,1,2,4,1,нормально,плохо,плохо,хорошо,нормально
жен,80,нет,да,купе,692,1,1,1,3,4,4,1,нормально,плохо,нормально,нормально,хорошо
жен,51,нет,нет,плацкарт,251,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,20,нет,нет,плацкарт,420,1,0,0,1,1,2,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,65,нет,да,плацкарт,399,1,1,1,2,2,2,0,нормально,плохо,нормально,нормально,плохо
жен,65,нет,нет,купе,450,1,1,0,5,3,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,43,нет,нет,плацкарт,525,1,1,1,2,2,3,1,нормально,плохо,плохо,хорошо,нормально
муж,22,нет,нет,плацкарт,521,1,0,0,3,3,4,1,нормально,отсутствует,отсутствует,плохо,нормально
муж,52,да,нет,плацкарт,233,1,1,0,1,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,49,да,нет,плацкарт,284,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
жен,39,нет,нет,плацкарт,843,1,1,1,4,4,3,1,хорошо,нормально,хорошо,нормально,хорошо
муж,39,нет,нет,плацкарт,571,1,1,1,3,3,4,1,нормально,нормально,нормально,хорошо,хорошо
жен,54,нет,да,плацкарт,355,1,0,1,5,1,3,1,плохо,отсутствует,нормально,плохо,хорошо
муж,52,нет,нет,плацкарт,1340,1,1,1,4,4,3,1,нормально,нормально,нормально,хорошо,хорошо
жен,37,нет,да,плацкарт,434,1,1,1,3,3,2,0,плохо,нормально,плохо,плохо,плохо
муж,39,да,нет,плацкарт,1911,1,1,1,4,4,2,1,хорошо,нормально,хорошо,плохо,хорошо
муж,50,нет,да,плацкарт,265,1,1,1,4,4,3,1,нормально,нормально,нормально,плохо,хорошо
жен,44,нет,да,купе,238,1,0,1,3,3,3,1,плохо,отсутствует,нормально,плохо,нормально
жен,33,нет,нет,плацкарт,1099,1,0,1,2,2,4,1,нормально,отсутствует,нормально,хорошо,нормально
муж,37,нет,да,плацкарт,485,1,0,0,2,2,3,0,нормально,отсутствует,отсутствует,плохо,плохо
жен,35,да,да,св,485,1,0,1,3,3,3,0,плохо,отсутствует,плохо,плохо,плохо
муж,46,нет,нет,плацкарт,1001,1,1,1,3,3,4,1,нормально,нормально,плохо,нормально,нормально
жен,29,нет,да,плацкарт,1104,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,41,да,нет,плацкарт,1313,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
жен,66,нет,нет,плацкарт,533,1,1,0,2,2,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,36,нет,нет,плацкарт,145,1,1,0,4,4,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,42,нет,нет,купе,343,1,0,1,5,5,5,1,нормально,отсутствует,плохо,нормально,нормально
муж,59,нет,нет,плацкарт,851,1,1,0,1,1,4,0,плохо,плохо,отсутствует,плохо,плохо
муж,45,нет,нет,плацкарт,774,1,0,1,5,5,5,1,нормально,отсутствует,нормально,хорошо,нормально
жен,47,нет,да,плацкарт,193,1,1,1,4,4,3,1,хорошо,нормально,хорошо,хорошо,хорошо
муж,31,да,нет,плацкарт,307,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,54,нет,нет,плацкарт,1127,1,1,1,2,4,2,1,нормально,нормально,плохо,нормально,нормально
жен,34,нет,нет,плацкарт,1437,1,1,1,2,2,2,0,нормально,плохо,плохо,нормально,плохо
муж,70,нет,да,плацкарт,1065,1,1,1,4,4,4,1,нормально,нормально,нормально,нормально,хорошо
жен,21,нет,нет,плацкарт,890,1,1,0,2,2,2,0,плохо,плохо,отсутствует,нормально,плохо
жен,34,нет,нет,плацкарт,1340,1,0,0,1,3,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,18,нет,да,купе,485,1,0,0,3,2,3,1,хорошо,отсутствует,отсутствует,плохо,нормально
жен,41,нет,да,плацкарт,441,1,0,0,2,2,2,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,18,нет,да,купе,2622,1,0,1,3,3,3,1,хорошо,отсутствует,плохо,нормально,нормально
жен,26,нет,да,плацкарт,971,1,0,1,1,1,2,1,нормально,отсутствует,плохо,нормально,нормально
жен,22,нет,нет,плацкарт,1048,1,0,1,4,4,2,1,нормально,отсутствует,плохо,хорошо,нормально
муж,45,нет,нет,плацкарт,341,1,1,0,2,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,63,нет,нет,плацкарт,200,1,1,1,3,3,4,1,нормально,нормально,нормально,нормально,нормально
муж,33,да,нет,плацкарт,554,1,1,0,3,3,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,43,нет,да,плацкарт,1092,1,1,1,3,3,3,1,нормально,нормально,плохо,нормально,нормально
муж,37,да,нет,плацкарт,2439,1,0,0,1,1,2,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,31,нет,да,св,953,1,0,1,4,4,3,1,нормально,отсутствует,нормально,нормально,хорошо
муж,70,нет,нет,плацкарт,2210,1,1,0,4,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
муж,49,нет,нет,плацкарт,138,1,1,1,2,2,3,1,нормально,плохо,нормально,плохо,нормально
муж,23,нет,да,плацкарт,1017,1,1,0,2,2,4,0,плохо,плохо,отсутствует,плохо,плохо
муж,67,нет,нет,плацкарт,374,1,0,0,2,2,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,52,нет,нет,плацкарт,114,0,1,1,5,4,4,1,отсутствует,нормально,нормально,хорошо,нормально
жен,55,нет,нет,св,298,0,1,1,4,1,2,0,отсутствует,плохо,плохо,плохо,плохо
муж,66,нет,нет,плацкарт,684,1,1,1,1,1,3,0,нормально,плохо,плохо,плохо,плохо
жен,27,нет,да,св,374,1,1,0,1,1,4,0,плохо,плохо,отсутствует,плохо,плохо
муж,21,нет,нет,купе,371,1,0,0,4,4,4,1,хорошо,отсутствует,отсутствует,хорошо,нормально
жен,27,нет,нет,плацкарт,874,0,0,0,2,2,3,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
жен,38,нет,да,плацкарт,345,1,0,1,3,3,4,1,нормально,отсутствует,плохо,нормально,хорошо
жен,37,нет,нет,купе,1047,1,0,1,4,4,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,22,нет,да,плацкарт,1071,1,1,1,1,1,5,1,нормально,плохо,плохо,нормально,хорошо
жен,45,нет,да,плацкарт,183,1,0,0,4,1,2,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,42,нет,да,плацкарт,138,1,1,1,3,3,4,1,плохо,нормально,хорошо,плохо,хорошо
жен,31,нет,да,плацкарт,2379,1,0,1,5,5,3,1,нормально,отсутствует,хорошо,нормально,хорошо
жен,54,нет,нет,плацкарт,475,1,1,1,5,3,3,1,нормально,хорошо,плохо,хорошо,нормально
муж,54,нет,нет,купе,1028,1,1,1,2,2,4,1,нормально,плохо,нормально,нормально,хорошо
жен,26,нет,да,плацкарт,657,1,1,1,5,5,2,1,нормально,хорошо,нормально,плохо,нормально
муж,30,нет,нет,плацкарт,1501,1,1,0,1,1,5,1,плохо,плохо,отсутствует,хорошо,нормально
муж,24,нет,да,плацкарт,985,1,0,0,4,2,5,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,43,да,нет,плацкарт,2512,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,28,нет,нет,плацкарт,195,1,1,1,4,4,4,1,нормально,нормально,плохо,хорошо,нормально
жен,56,нет,нет,плацкарт,624,1,1,0,5,4,2,1,плохо,нормально,отсутствует,хорошо,нормально
жен,50,нет,да,плацкарт,587,1,0,0,4,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,29,нет,нет,купе,143,0,0,0,5,5,5,1,отсутствует,отсутствует,отсутствует,нормально,нормально
жен,24,нет,нет,плацкарт,393,1,1,0,1,1,4,1,плохо,плохо,отсутствует,хорошо,нормально
жен,69,нет,нет,купе,227,1,1,1,4,5,5,1,нормально,нормально,плохо,хорошо,нормально
муж,44,да,нет,плацкарт,756,1,1,0,3,3,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,18,нет,нет,плацкарт,1133,1,0,0,2,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,57,да,да,плацкарт,829,1,0,0,4,5,4,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,53,нет,нет,купе,565,1,1,1,3,3,2,1,нормально,плохо,плохо,нормально,нормально
муж,44,нет,да,плацкарт,273,1,1,1,4,4,3,1,плохо,нормально,плохо,плохо,нормально
жен,52,нет,нет,плацкарт,1343,1,1,1,5,5,4,1,нормально,нормально,плохо,хорошо,нормально
жен,23,нет,нет,купе,653,1,0,0,2,2,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,52,нет,нет,св,462,1,0,1,4,3,4,1,нормально,отсутствует,плохо,плохо,нормально
муж,43,нет,да,плацкарт,407,1,0,0,3,3,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,22,нет,да,плацкарт,224,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
муж,56,да,нет,плацкарт,571,1,1,1,3,2,3,0,нормально,плохо,плохо,нормально,плохо
жен,34,нет,да,плацкарт,247,1,1,1,3,3,2,1,нормально,нормально,плохо,нормально,нормально
жен,55,нет,да,купе,420,1,1,0,3,3,2,1,плохо,хорошо,отсутствует,плохо,нормально
жен,51,нет,нет,плацкарт,184,1,0,1,4,5,4,1,нормально,отсутствует,плохо,хорошо,нормально
муж,27,нет,нет,плацкарт,360,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,45,да,нет,купе,1379,1,1,1,4,4,5,1,нормально,нормально,плохо,хорошо,нормально
